Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
09/10/2013,4266,4224
10/10/2017,3982,2654
10/27/2013,724,832
03/13/2020,1050,626
01/05/2013,632,806
02/22/2014,562,686
11/23/2012,374,336
10/07/2015,2456,2262
02/24/2013,1034,1210
06/12/2018,6092,3868
05/29/2019,6950,4396
10/13/2020,792,518
11/25/2017,876,840
02/15/2019,1690,988
09/06/2019,6736,3646
04/08/2018,1078,1084
06/02/2019,3050,2876
12/07/2012,1820,1812
07/22/2015,4886,4410
09/12/2019,6794,3972
02/26/2020,5142,2418
06/13/2019,7532,4458
05/16/2014,5198,6286
08/21/2015,3618,3594
05/05/2017,3212,2254
11/26/2014,2154,2324
03/23/2020,1594,994
05/31/2019,6470,4164
01/23/2019,3502,2060
02/10/2019,24,52
05/05/2013,2690,3316
07/01/2016,3856,3540
10/18/2015,812,862
05/20/2016,4494,4928
05/20/2018,1814,1836
09/25/2016,1730,1616
10/18/2014,1166,1590
10/05/2016,3844,3076
06/03/2016,4578,4362
07/04/2014,3478,3090
06/09/2019,3256,2722
12/03/2020,788,572
12/21/2017,2038,1434
03/07/2020,1080,938
12/20/2019,1558,718
11/12/2012,1584,1678
10/13/2019,1732,1462
04/26/2018,6092,4256
11/10/2012,1168,1370
09/04/2014,4924,4956
09/22/2020,1732,1269
07/20/2013,2266,2756
03/27/2016,420,472
11/13/2019,5922,3012
12/18/2014,1424,2458
11/16/2014,948,1060
12/02/2016,1912,1552
09/04/2015,3024,2850
10/06/2020,1646,1116
01/01/2019,704,670
07/04/2016,2300,2116
02/08/2015,1364,1680
10/21/2020,944,586
01/17/2018,2806,1820
01/31/2018,3086,1986
02/07/2018,3332,2304
06/10/2013,4308,4430
07/18/2020,1973,1556
05/19/2019,2294,2008
11/14/2015,396,414
07/06/2015,4134,3998
12/12/2020,898,838
03/07/2016,2112,1932
09/19/2015,1706,1962
03/27/2020,533,452
08/23/2018,3934,2468
04/30/2018,4380,2718
01/21/2013,1264,1288
12/06/2020,744,697
03/19/2018,4122,2730
11/07/2017,3960,2576
10/31/2017,4638,3090
10/28/2018,672,594
06/08/2013,2010,2348
04/18/2016,4814,4542
06/10/2014,4554,4506
05/01/2017,3874,2852
03/30/2020,381,335
08/11/2016,4886,4252
06/17/2016,3748,3358
01/15/2014,2744,2800
08/20/2016,2018,1884
12/13/2019,3802,2024
11/23/2016,2028,1560
04/18/2018,4418,2982
06/23/2016,2698,2446
04/12/2016,2544,2462
09/15/2015,3724,3590
07/07/2018,2918,2334
03/31/2016,4188,4208
10/10/2012,3174,3296
07/25/2018,6376,3966
11/18/2020,527,302
10/22/2014,1948,2226
05/11/2015,3654,3698
08/05/2014,4854,4784
10/12/2015,3508,3328
12/01/2014,1730,1888
05/03/2018,5934,4022
02/02/2015,1502,2306
06/16/2018,2858,2180
01/28/2017,1148,1282
05/20/2014,5670,5686
11/06/2017,3918,2526
03/29/2017,2384,1832
01/29/2013,1758,1820
10/16/2014,3006,4252
04/21/2013,818,1118
08/11/2014,4430,4220
